survey,filter,magnitudes,errors
GALEX,NUV,19.031418897356705,0.08081853821768435
PS1,i,16.653238235253845,0.016772472294514503
GALEX,FUV,19.579269695264074,0.16985525829876294
SDSS,u,18.624488811749384,0.31911736882758757
2MASS,H,24.025108675810834,0.007263332869591524
PS1,z,16.52535648214137,0.021356856448992604
PS1,y,16.11616624588978,0.02407762056758398
2MASS,Ks,21.592838067448913,0.009284143107389526
2MASS,J,17.772551946363635,0.008915477368494906
PS1,g,17.648530860985957,0.016378374750570683
PS1,r,17.04515936121416,0.017044134455435404
