survey,filter,magnitudes,errors
GALEX,NUV,16.197040738558815,0.029521226925926545
PS1,i,13.847174157026792,0.015079458194175976
GALEX,FUV,16.69270501014161,0.05445708928705334
2MASS,H,22.749264453677302,0.0024698302380225245
PS1,z,13.625627612259734,0.015217326891500332
PS1,y,13.435006673659945,0.018796632270922556
2MASS,Ks,20.790799601969187,0.003017825563330412
2MASS,J,15.978122638921207,0.0027867546881940705
PS1,g,14.550234550416974,0.014227825483899137
PS1,r,14.089286616880607,0.014325798967602324
