survey,filter,magnitudes,errors
GALEX,NUV,15.251901374315393,0.03162838832547524
PS1,i,12.889054608109603,0.015025795309670223
GALEX,FUV,15.847000982652151,0.060117042298161005
2MASS,H,20.920914370431714,0.0017763849567984835
PS1,z,12.792327209691639,0.015141158462449816
PS1,y,12.721995734676003,0.018595034646657453
2MASS,Ks,18.488878034584097,0.0022720078080599652
2MASS,J,14.524296031251872,0.002053115675730015
PS1,g,13.584219568482972,0.014053434590966312
PS1,r,13.097187048318661,0.014057473432140567
