survey,filter,magnitudes,errors
UKIDSS,H,31.668341895377274,0.019981936226376895
GALEX,NUV,17.54144353974612,0.050738453865392795
PS1,i,12.877014174969135,0.015009287537582482
GALEX,FUV,18.104663041782487,0.10288794871761817
SDSS,u,15.381039358733695,0.05597111875222649
2MASS,H,24.609986862156433,0.0016450215251099024
PS1,z,12.707531296152585,0.015042655686587449
PS1,y,12.453689224473637,0.01809278432102004
UKIDSS,Y,16.457323468812262,0.01423096052253306
UKIDSS,J,15.550772779751426,0.010807687759822984
UKIDSS,K,16.39216803050773,0.01658259135475329
PS1,g,13.871989919473897,0.014037668945771731
PS1,r,13.191342249100346,0.014011611507974447
