survey,filter,magnitudes,errors
GALEX,NUV,16.175507923069777,0.03404566155557562
PS1,i,11.990302912277626,0.01500650391173035
GALEX,FUV,16.715680083864022,0.06583329863832489
2MASS,H,19.455829739528713,0.0008820641282014209
PS1,z,11.730484752364605,0.015007018768325884
PS1,y,11.502605652429592,0.01802701408104222
2MASS,Ks,16.841105974609455,0.0010388561318745554
2MASS,J,13.119484683740978,0.0010629458713033097
PS1,g,12.957194097054218,0.01401770321989067
PS1,r,12.274246082523517,0.014007609114454936
