survey,filter,magnitudes,errors
UKIDSS,H,33.54505392619012,0.021610367754833996
GALEX,NUV,17.226046077036166,0.03063566328899695
PS1,i,13.13509335486782,0.015018432365842573
GALEX,FUV,18.804423406230278,0.09390225375454304
SDSS,u,15.533338496892576,0.07039080561087324
PS1,z,12.89796663142142,0.015061981245600264
PS1,y,12.786014257485057,0.018175053704233984
UKIDSS,Y,17.543507180616665,0.02252240792510891
SkyMapper,u,16.40058311189066,0.6709253022128313
UKIDSS,J,16.124081627706826,0.027300179857708898
UKIDSS,K,16.959253191290408,0.021520599572360903
PS1,g,14.169198525222173,0.014086922529903354
PS1,r,13.44733797750888,0.014044039840926127
