ZTF18aahvndq 0.01543852 198.722696 27.008415
filter ztfg
58991.302 15.366 0.003 
58994.233 15.375 0.005 
58997.214 15.471 0.002 
59000.261 15.671 0.004 
59004.193 16.013 0.007 
59009.259 16.624 0.008 
59012.200 16.910 0.006 
59018.207 17.468 0.008 
59021.228 17.683 0.010 
59024.205 17.901 0.014 
59027.216 17.952 0.025 
59031.174 18.118 0.038 
59036.198 18.172 0.031 
59039.177 18.320 0.023 
59045.238 18.447 0.027 
59057.195 18.571 0.041 
filter ztfr
58991.229 15.379 0.003 
58997.250 15.457 0.003 
59004.234 15.962 0.006 
59009.172 16.120 0.005 
59012.228 16.153 0.004 
59021.241 16.631 0.006 
59024.217 16.870 0.013 
59027.184 16.980 0.012 
59031.214 17.209 0.014 
59036.256 17.492 0.023 
59039.215 17.533 0.011 
59042.228 17.603 0.015 
59045.208 17.738 0.014 
59074.159 18.562 0.044 
59076.151 18.772 0.067 
59076.156 18.733 0.053 
59076.160 18.731 0.055 
59076.165 18.672 0.052 
59078.149 18.783 0.059 
59078.154 18.805 0.055 
59078.159 18.869 0.059 
59078.164 18.834 0.063 
filter ztfi
59011.213 16.323 0.008 
59017.170 16.306 0.010 
59021.185 16.467 0.009 
59025.256 16.830 0.010 
59029.184 17.107 0.019 
59033.255 17.262 0.025 
59037.278 17.532 0.026 
59041.184 17.586 0.019 
59045.186 17.841 0.025 
59049.243 18.019 0.030 
59059.194 18.359 0.048 
59063.194 18.579 0.085 
59073.154 18.693 0.084 
