ZTF18aailmnv 0.08363972 214.202065 58.485417
filter ztfg
58313.240 19.984 0.080 
58313.321 20.174 0.104 
58315.176 19.385 0.053 
58315.177 19.367 0.054 
58316.174 19.044 0.041 
58316.177 19.064 0.050 
58319.183 18.671 0.041 
58319.205 18.537 0.037 
58319.206 18.695 0.044 
58320.175 18.493 0.026 
58321.181 18.452 0.061 
58321.182 18.319 0.037 
58321.198 18.562 0.037 
58321.199 18.441 0.040 
58322.182 18.370 0.026 
58322.204 18.416 0.032 
58324.279 18.261 0.042 
58324.280 18.202 0.047 
58324.305 18.216 0.050 
58328.179 18.229 0.024 
58331.276 18.350 0.046 
58333.178 18.441 0.016 
58334.183 18.470 0.032 
58336.238 18.581 0.022 
58337.175 18.607 0.022 
58344.166 19.293 0.039 
58344.166 19.276 0.051 
58347.202 19.654 0.064 
58347.203 19.578 0.075 
58350.242 19.985 0.125 
58350.259 19.767 0.113 
58350.260 19.671 0.102 
58351.243 19.866 0.166 
58351.243 20.037 0.173 
58352.155 20.069 0.171 
58352.157 20.066 0.215 
58352.175 19.850 0.139 
58352.177 19.961 0.206 
58352.194 20.096 0.169 
58352.195 20.104 0.198 
58360.159 20.643 0.148 
58361.156 20.834 0.189 
58361.182 20.463 0.133 
58361.214 20.314 0.142 
58362.215 20.727 0.257 
58365.219 20.899 0.265 
58366.206 20.842 0.193 
filter ztfr
58312.219 20.236 0.132 
58313.226 20.200 0.103 
58315.320 19.311 0.085 
58315.347 19.420 0.084 
58316.237 19.282 0.047 
58319.224 18.793 0.125 
58319.225 18.806 0.100 
58319.233 18.887 0.096 
58319.259 18.851 0.188 
58320.269 18.702 0.035 
58321.217 18.704 0.065 
58321.221 18.662 0.039 
58321.239 18.626 0.052 
58321.240 18.556 0.032 
58321.259 18.621 0.040 
58321.259 18.715 0.080 
58322.243 18.509 0.028 
58322.266 18.584 0.034 
58322.279 18.534 0.036 
58324.179 18.436 0.053 
58328.284 18.333 0.045 
58328.298 18.308 0.052 
58329.303 18.523 0.057 
58330.298 18.374 0.053 
58331.182 18.491 0.105 
58334.161 18.625 0.036 
58336.204 18.546 0.025 
58337.199 18.696 0.064 
58344.182 19.035 0.042 
58344.183 18.959 0.037 
58350.158 19.179 0.053 
58350.159 19.197 0.049 
58350.177 19.205 0.051 
58350.196 19.324 0.062 
58351.149 19.271 0.110 
58351.152 19.202 0.058 
58351.180 19.115 0.053 
58351.204 19.213 0.064 
58352.224 19.255 0.092 
58352.224 19.174 0.153 
58352.234 19.155 0.094 
58353.143 19.249 0.094 
58353.151 19.350 0.078 
58353.197 19.285 0.066 
58353.236 19.239 0.072 
58354.183 19.280 0.111 
58354.202 19.350 0.114 
58354.203 19.230 0.106 
58354.215 19.132 0.138 
58358.193 19.539 0.136 
58358.222 19.631 0.181 
58360.223 19.401 0.126 
58361.143 19.575 0.071 
58362.144 19.806 0.116 
58365.141 19.649 0.070 
58368.140 19.883 0.087 
58369.132 20.097 0.128 
58369.132 20.074 0.147 
58369.160 20.014 0.105 
58373.130 20.341 0.166 
58374.125 20.375 0.176 
58376.177 20.423 0.184 
58377.140 20.309 0.166 
58377.161 20.254 0.171 
58382.119 20.180 0.210 
58382.120 20.552 0.216 
58382.141 20.177 0.236 
58382.156 20.538 0.268 
filter ztfi
58320.216 19.055 0.073 
58320.221 19.110 0.067 
58325.300 18.911 0.104 
58325.300 18.764 0.096 
58332.165 19.169 0.095 
58332.165 18.982 0.081 
58336.164 19.626 0.128 
58336.164 19.234 0.092 
58348.179 20.068 0.256 
58363.140 19.805 0.206 
