ZTF18aaisqmw 0.05291121 176.357595 55.527
filter ztfg
59189.519 20.839 0.278 
59192.546 19.707 0.114 
59195.536 18.858 0.068 
59198.533 18.379 0.027 
59200.474 18.296 0.054 
59203.532 18.242 0.030 
59215.498 18.723 0.125 
59217.446 18.942 0.070 
59219.427 19.074 0.068 
59221.487 19.301 0.057 
59223.411 19.579 0.095 
59225.479 19.780 0.143 
59227.470 19.795 0.080 
59229.448 20.089 0.170 
59231.454 20.073 0.078 
59248.472 20.140 0.159 
59252.496 20.862 0.151 
59256.500 21.193 0.229 
59265.403 21.274 0.278 
filter ztfr
59189.473 20.446 0.277 
59195.496 18.718 0.063 
59198.469 18.380 0.038 
59200.532 18.297 0.056 
59203.507 18.176 0.038 
59215.365 18.657 0.171 
59215.446 18.811 0.148 
59216.363 18.684 0.057 
59216.364 18.636 0.058 
59217.392 18.547 0.064 
59217.411 18.695 0.057 
59217.412 18.734 0.056 
59219.472 18.734 0.048 
59221.426 18.884 0.059 
59223.477 18.810 0.056 
59225.405 18.936 0.072 
59227.374 18.862 0.045 
59231.476 19.047 0.048 
59248.427 20.249 0.187 
59250.385 19.763 0.130 
59252.326 19.974 0.114 
59254.406 20.114 0.144 
59256.416 20.184 0.131 
59260.414 19.828 0.187 
59263.393 19.857 0.216 
59265.308 20.033 0.189 
filter ztfi
59199.496 18.487 0.055 
59202.467 18.661 0.054 
59216.493 19.434 0.132 
59219.391 19.547 0.127 
59222.485 19.205 0.083 
59225.430 19.650 0.138 
59228.536 19.201 0.065 
59231.509 19.230 0.054 
59251.382 20.074 0.168 
59254.369 20.086 0.134 
59260.345 20.480 0.214 
59263.324 19.753 0.159 
