ZTF18abbikrz 0.04672737 240.767242 19.182311
filter ztfg
59048.256 19.127 0.044 
59050.193 18.521 0.031 
59051.170 18.152 0.029 
59051.171 18.142 0.028 
59053.193 17.859 0.013 
59054.244 17.764 0.014 
59059.275 17.655 0.030 
59062.190 17.751 0.026 
59063.236 17.856 0.044 
59063.237 17.875 0.041 
59065.226 18.214 0.066 
59066.183 18.254 0.032 
59066.184 18.171 0.030 
59067.211 18.414 0.035 
59069.179 18.868 0.037 
59069.180 18.827 0.033 
59070.213 18.833 0.036 
59071.213 19.133 0.051 
59072.226 19.080 0.057 
59073.229 19.239 0.058 
59074.196 19.426 0.061 
59075.171 19.065 0.057 
59076.174 19.590 0.070 
59078.194 19.903 0.101 
59079.163 20.150 0.129 
59084.171 20.271 0.206 
59086.192 20.221 0.209 
59093.151 19.981 0.235 
filter ztfr
59045.225 20.281 0.225 
59048.192 19.018 0.090 
59048.193 19.016 0.076 
59049.187 18.743 0.058 
59050.255 18.894 0.090 
59054.195 17.944 0.027 
59055.191 17.758 0.025 
59056.193 17.772 0.030 
59057.173 17.707 0.026 
59059.172 17.675 0.029 
59060.190 17.674 0.029 
59063.169 17.646 0.035 
59063.182 17.658 0.032 
59064.276 17.785 0.061 
59065.169 17.860 0.040 
59066.227 17.843 0.039 
59066.228 17.876 0.037 
59067.183 17.839 0.029 
59069.205 17.960 0.030 
59069.206 18.055 0.037 
59070.197 18.118 0.038 
59072.177 18.120 0.034 
59073.186 18.163 0.038 
59074.187 18.246 0.069 
59075.229 18.596 0.069 
59076.193 18.307 0.047 
59078.182 18.612 0.053 
59079.194 19.163 0.146 
59080.172 18.713 0.074 
59081.187 18.704 0.082 
59084.193 18.980 0.093 
59085.174 19.111 0.140 
59086.160 19.270 0.137 
59087.166 19.228 0.172 
59089.143 19.082 0.146 
59093.143 19.538 0.188 
59095.143 19.988 0.240 
filter ztfi
59053.254 18.399 0.092 
59057.273 18.129 0.078 
59061.207 18.476 0.122 
59065.274 18.337 0.119 
59069.254 18.447 0.094 
59073.165 18.532 0.105 
59078.250 18.317 0.103 
59082.219 18.999 0.180 
