name z ra dec
DES16C1cim 0.531000 54.876510 -26.649180
time flux flux_err zp band mag_sys
57681.163 52.919 13.741 27.5 des_g AB
57686.162 25.094 4.929 27.5 des_g AB
57687.165 32.393 4.946 27.5 des_g AB
57688.098 33.257 4.072 27.5 des_g AB
57667.168 21.831 4.339 27.5 des_r AB
57681.165 80.558 10.146 27.5 des_r AB
57686.164 78.781 8.413 27.5 des_r AB
57687.168 68.251 8.235 27.5 des_r AB
57688.1 66.053 5.924 27.5 des_r AB
57695.081 61.332 8.407 27.5 des_r AB
57696.077 67.982 5.164 27.5 des_r AB
57703.06 42.951 8.883 27.5 des_r AB
57710.039 26.719 4.759 27.5 des_r AB
57722.038 19.573 6.296 27.5 des_r AB
57673.236 27.202 7.516 27.5 des_i AB
57681.168 80.205 12.388 27.5 des_i AB
57686.166 86.788 15.332 27.5 des_i AB
57687.17 68.701 13.947 27.5 des_i AB
57688.102 77.513 10.555 27.5 des_i AB
57695.083 56.032 11.286 27.5 des_i AB
57696.079 61.129 7.089 27.5 des_i AB
57703.062 64.822 8.214 27.5 des_i AB
57710.041 56.321 7.215 27.5 des_i AB
57715.13 45.11 13.735 27.5 des_i AB
57717.032 32.559 7.585 27.5 des_i AB
57722.04 43.199 9.15 27.5 des_i AB
57673.239 34.143 6.823 27.5 des_z AB
57681.173 54.777 14.056 27.5 des_z AB
57687.175 58.62 13.363 27.5 des_z AB
57688.108 52.993 12.304 27.5 des_z AB
57695.088 59.287 13.393 27.5 des_z AB
57696.085 69.019 10.712 27.5 des_z AB
57703.064 56.158 8.649 27.5 des_z AB
57710.046 35.616 9.254 27.5 des_z AB
57722.046 41.234 12.954 27.5 des_z AB
