name z ra dec
DES16C3cmy 0.556400 51.806000 -27.489090
time flux flux_err zp band mag_sys
57681.117 40.06 9.59 27.5 des_g AB
57686.289 45.33 3.193 27.5 des_g AB
57687.192 42.891 3.007 27.5 des_g AB
57694.259 44.588 2.759 27.5 des_g AB
57701.13 24.981 3.487 27.5 des_g AB
57716.226 9.245 2.988 27.5 des_g AB
57680.329 47.942 9.535 27.5 des_r AB
57682.107 56.153 4.079 27.5 des_r AB
57686.361 91.152 2.98 27.5 des_r AB
57694.126 106.24 2.334 27.5 des_r AB
57701.149 97.503 2.207 27.5 des_r AB
57709.083 71.071 3.558 27.5 des_r AB
57714.284 58.804 3.428 27.5 des_r AB
57718.241 46.461 1.763 27.5 des_r AB
57722.287 31.969 2.041 27.5 des_r AB
57729.035 16.539 2.452 27.5 des_r AB
57739.139 12.314 2.765 27.5 des_r AB
57746.085 9.023 1.31 27.5 des_r AB
57681.131 51.914 16.872 27.5 des_i AB
57683.189 58.206 2.895 27.5 des_i AB
57687.205 75.28 4.303 27.5 des_i AB
57694.282 100.69 4.119 27.5 des_i AB
57701.159 87.761 2.42 27.5 des_i AB
57708.166 80.658 3.622 27.5 des_i AB
57714.098 69.407 3.151 27.5 des_i AB
57718.261 55.116 2.575 27.5 des_i AB
57723.096 47.965 4.13 27.5 des_i AB
57730.128 42.786 3.097 27.5 des_i AB
57739.205 27.076 2.795 27.5 des_i AB
57746.11 15.198 1.854 27.5 des_i AB
57751.086 17.889 2.934 27.5 des_i AB
57681.305 40.191 4.041 27.5 des_z AB
57686.318 63.598 5.084 27.5 des_z AB
57694.137 97.542 4.612 27.5 des_z AB
57701.199 92.629 2.857 27.5 des_z AB
57708.205 84.148 3.96 27.5 des_z AB
57714.122 60.794 3.594 27.5 des_z AB
57719.094 47.721 2.999 27.5 des_z AB
57723.145 41.209 3.39 27.5 des_z AB
57730.138 38.324 4.13 27.5 des_z AB
57739.223 31.275 3.989 27.5 des_z AB
57746.141 32.274 2.668 27.5 des_z AB
57751.117 27.467 3.61 27.5 des_z AB
