name z ra dec
DES16E2clk 0.367000 9.203650 -44.139850
time flux flux_err zp band mag_sys
57681.015 51.426 6.493 27.5 des_g AB
57682.016 54.252 4.926 27.5 des_g AB
57686.02 82.689 4.096 27.5 des_g AB
57694.025 88.763 2.721 27.5 des_g AB
57701.039 65.749 8.566 27.5 des_g AB
57708.063 32.556 8.77 27.5 des_g AB
57714.057 25.735 2.811 27.5 des_g AB
57718.042 15.364 4.605 27.5 des_g AB
57719.045 12.718 3.186 27.5 des_g AB
57740.057 7.281 2.125 27.5 des_g AB
57680.019 50.184 8.978 27.5 des_r AB
57681.017 57.702 9.013 27.5 des_r AB
57682.019 64.216 6.937 27.5 des_r AB
57686.023 104.62 7.356 27.5 des_r AB
57694.027 139.79 4.002 27.5 des_r AB
57701.042 122.04 7.257 27.5 des_r AB
57708.065 86.417 7.768 27.5 des_r AB
57714.059 63.862 4.052 27.5 des_r AB
57718.044 53.809 5.66 27.5 des_r AB
57719.048 40.494 4.045 27.5 des_r AB
57723.132 36.966 5.276 27.5 des_r AB
57730.055 25.909 7.828 27.5 des_r AB
57740.059 18.186 2.81 27.5 des_r AB
57747.059 13.269 3.144 27.5 des_r AB
57752.061 14.772 4.586 27.5 des_r AB
57680.021 60.62 14.898 27.5 des_i AB
57681.019 51.711 13.343 27.5 des_i AB
57682.021 67.688 10.878 27.5 des_i AB
57686.025 115.46 13.213 27.5 des_i AB
57694.029 140.96 5.638 27.5 des_i AB
57701.044 121.79 7.703 27.5 des_i AB
57708.067 97.258 7.637 27.5 des_i AB
57714.061 75.872 5.866 27.5 des_i AB
57718.046 62.108 7.721 27.5 des_i AB
57719.05 67.869 5.911 27.5 des_i AB
57723.134 58.195 9.524 27.5 des_i AB
57730.057 54.115 7.886 27.5 des_i AB
57740.061 34.259 3.618 27.5 des_i AB
57747.061 28.8 4.474 27.5 des_i AB
57752.064 21.167 6.74 27.5 des_i AB
57681.022 64.437 16.129 27.5 des_z AB
57682.026 87.226 12.224 27.5 des_z AB
57686.027 109.48 16.078 27.5 des_z AB
57694.034 110.9 7.057 27.5 des_z AB
57701.049 86.818 9.545 27.5 des_z AB
57708.073 83.004 8.079 27.5 des_z AB
57714.067 62.029 8.557 27.5 des_z AB
57718.051 59.18 9.408 27.5 des_z AB
57719.052 45.428 7.298 27.5 des_z AB
57723.139 52.471 8.809 27.5 des_z AB
57730.062 54.262 7.315 27.5 des_z AB
57740.064 35.243 4.482 27.5 des_z AB
57747.064 28.859 5.859 27.5 des_z AB
57752.069 30.914 8.054 27.5 des_z AB
