name z ra dec
SN2006ef 0.0179 31.0813 -8.7284
time flux flux_err zp band mag_sys
53979.394 2.0406769779760953e-15 9.39766477820779e-18 -20.78356433753004 Swope_g CSP_BD17
53981.297 1.6709915933360737e-15 1.3851361200002442e-17 -20.78356433753004 Swope_g CSP_BD17
53986.297 1.018062088229056e-15 7.501358681915562e-18 -20.78356433753004 Swope_g CSP_BD17
53998.291 3.288321446741446e-16 2.422924782156629e-18 -20.78356433753004 Swope_g CSP_BD17
54001.326 2.793664602120521e-16 2.3157541683604275e-18 -20.78356433753004 Swope_g CSP_BD17
54003.327 2.5856769562795847e-16 2.143346837337932e-18 -20.78356433753004 Swope_g CSP_BD17
54008.305 2.2603425732555087e-16 2.0818524456951744e-18 -20.78356433753004 Swope_g CSP_BD17
54014.22 2.0126778401777153e-16 3.892864073105834e-18 -20.78356433753004 Swope_g CSP_BD17
54036.239 1.4354043729975304e-16 1.5864675416076379e-18 -20.78356433753004 Swope_g CSP_BD17
54040.213 1.4066118279168964e-16 1.8137523188907088e-18 -20.78356433753004 Swope_g CSP_BD17
53979.398 1.1127642108009618e-15 6.149362281138188e-18 -21.373992126891217 Swope_r CSP_BD17
53981.302 9.917521467980126e-16 6.39406238565345e-18 -21.373992126891217 Swope_r CSP_BD17
53986.302 9.086636380188238e-16 5.858370972854067e-18 -21.373992126891217 Swope_r CSP_BD17
53998.295 5.016526944449682e-16 2.7722352386142734e-18 -21.373992126891217 Swope_r CSP_BD17
54001.33 4.149570516435022e-16 3.439706116849518e-18 -21.373992126891217 Swope_r CSP_BD17
54003.331 3.7532124583296392e-16 3.1111527806601707e-18 -21.373992126891217 Swope_r CSP_BD17
54008.31 3.0931654406511206e-16 2.279128522818441e-18 -21.373992126891217 Swope_r CSP_BD17
54014.225 2.4820078414763897e-16 4.5720274051822916e-18 -21.373992126891217 Swope_r CSP_BD17
54036.244 1.2682449720753138e-16 1.051287108107496e-18 -21.373992126891217 Swope_r CSP_BD17
54040.218 1.1513388229452303e-16 1.4845911419914388e-18 -21.373992126891217 Swope_r CSP_BD17
53979.403 3.4869738942548976e-16 1.9269729860569736e-18 -21.820878260054094 Swope_i CSP_BD17
53981.306 3.287370820847882e-16 2.7250023770020557e-18 -21.820878260054094 Swope_i CSP_BD17
53986.306 3.795322594966114e-16 2.796497033687185e-18 -21.820878260054094 Swope_i CSP_BD17
53998.3 3.0510455821146787e-16 2.2480934641352318e-18 -21.820878260054094 Swope_i CSP_BD17
54001.334 2.4459563135772193e-16 1.8022472146424237e-18 -21.820878260054094 Swope_i CSP_BD17
54003.336 2.1759489190756286e-16 2.2045353194392214e-18 -21.820878260054094 Swope_i CSP_BD17
54008.315 1.6890740743637772e-16 1.5556947138370998e-18 -21.820878260054094 Swope_i CSP_BD17
54014.231 1.333056927037783e-16 1.964465285318176e-18 -21.820878260054094 Swope_i CSP_BD17
54036.249 5.845863843876541e-17 8.614783323253116e-19 -21.820878260054094 Swope_i CSP_BD17
54040.223 5.09153455985718e-17 9.84790092551256e-19 -21.820878260054094 Swope_i CSP_BD17
53979.407 1.292308072629183e-15 2.737597359304477e-17 -20.14458485692423 Swope_u CSP_BD17
53981.311 9.199538838164398e-16 1.779348563258877e-17 -20.14458485692423 Swope_u CSP_BD17
53998.304 1.4473249779474758e-16 7.864909848697911e-18 -20.14458485692423 Swope_u CSP_BD17
54001.341 1.1862222264672264e-16 3.8239286618982996e-18 -20.14458485692423 Swope_u CSP_BD17
54003.319 1.0748950359164778e-16 3.96005965797533e-18 -20.14458485692423 Swope_u CSP_BD17
54014.211 8.940587486134267e-17 9.140389779872752e-18 -20.14458485692423 Swope_u CSP_BD17
53979.411 1.7250080690029279e-15 7.943955729961172e-18 -21.04202217275901 Swope_V CSP_VEGA
53981.315 1.5345856433772967e-15 1.1307244884362369e-17 -21.04202217275901 Swope_V CSP_VEGA
53986.315 1.1397015289504749e-15 8.397631203276432e-18 -21.04202217275901 Swope_V CSP_VEGA
53998.308 4.698845125887971e-16 3.462237037170359e-18 -21.04202217275901 Swope_V CSP_VEGA
54001.347 3.9773254658142057e-16 3.2969269179249794e-18 -21.04202217275901 Swope_V CSP_VEGA
54003.306 3.64746498045531e-16 3.359439396485686e-18 -21.04202217275901 Swope_V CSP_VEGA
54008.286 3.053452236111914e-16 3.0935667844578757e-18 -21.04202217275901 Swope_V CSP_VEGA
54014.195 2.652107543970623e-16 4.152558241119389e-18 -21.04202217275901 Swope_V CSP_VEGA
54036.218 1.4982736127676518e-16 1.7939492927122666e-18 -21.04202217275901 Swope_V CSP_VEGA
54040.191 1.3892843096693916e-16 2.0473250184801695e-18 -21.04202217275901 Swope_V CSP_VEGA
53979.416 2.1315900044060974e-15 1.1779601684449422e-17 -20.496240812372445 Swope_B CSP_VEGA
53981.319 1.680752148371059e-15 1.0836209557199368e-17 -20.496240812372445 Swope_B CSP_VEGA
53986.319 9.160172982578221e-16 1.0967880434644337e-17 -20.496240812372445 Swope_B CSP_VEGA
53998.313 2.964173873540465e-16 4.095157544554015e-18 -20.496240812372445 Swope_B CSP_VEGA
54001.351 2.504399884310256e-16 3.2292925506849326e-18 -20.496240812372445 Swope_B CSP_VEGA
54003.312 2.3265033115797887e-16 2.9999042326651456e-18 -20.496240812372445 Swope_B CSP_VEGA
54008.292 2.0658732635114625e-16 2.6638354291228137e-18 -20.496240812372445 Swope_B CSP_VEGA
54014.201 1.9085505845429225e-16 6.328224180278792e-18 -20.496240812372445 Swope_B CSP_VEGA
54036.224 1.3661666363043726e-16 2.0132575560321706e-18 -20.496240812372445 Swope_B CSP_VEGA
54040.197 1.2832275500336437e-16 2.9547406276267394e-18 -20.496240812372445 Swope_B CSP_VEGA
