survey,filter,magnitudes,errors
GALEX,NUV,18.507891026676674,0.03580231478415075
PS1,i,18.79930048067297,0.12137084295354315
GALEX,FUV,19.832594385743512,0.08086757189062165
SDSS,u,19.025908567875334,0.8076891018001612
PS1,z,17.961495988189352,0.0871968867648966
PS1,y,17.995389414376067,0.23607046649805336
UKIDSS,Y,21.535870199185716,0.5864928928992046
2MASS,Ks,29.276421548780057,0.027121800830498723
2MASS,J,22.141673421191523,0.02035208448833938
PS1,g,20.729888494129423,0.570397559345754
PS1,r,19.271892784741183,0.15282964279359199
